Category,Question,Response,Age,Gender,RaceEthnicity,RiskFactor,RiskFactorResponse,Sample_Size
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,All genders,Other,Smoking,Yes,173
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,"Hispanic, any race",Hypertension,No,171
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Male,"White, non-Hispanic",Hypertension,Yes,729
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Female,"Hispanic, any race",Hypertension,No,826
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,All genders,"White, non-Hispanic",Smoking,Yes,1777
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Female,Other,Smoking,No,153
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Male,"Black, non-Hispanic",Hypertension,Yes,36
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,All genders,All races,Hypertension,Yes,3608
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),80 years and older,Male,All races,Hypertension,No,209
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,Female,All races,All participants,Total,3906
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Male,Other,Smoking,No,102
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Female,"White, non-Hispanic",Smoking,No,1000
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,All genders,"White, non-Hispanic",Smoking,Yes,2423
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Male,All races,All participants,Total,4336
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Female,"Hispanic, any race",Smoking,No,83
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,All races,All participants,Total,8802
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,Female,All races,Smoking,No,273
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Male,Other,Smoking,Yes,80
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,Other,Diabetes,No,65
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Female,"Hispanic, any race",Hypertension,No,1736
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,Male,Other,All participants,Total,140
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,80 years and older,All genders,"Hispanic, any race",Smoking,No,67
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,80 years and older,All genders,"Hispanic, any race",Smoking,No,77
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,All genders,All races,All participants,Total,4085
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,All genders,"Black, non-Hispanic",Smoking,Yes,1035
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,12-17 years,Female,All races,Hypertension,No,3631
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,All genders,All races,Diabetes,Yes,240
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),80 years and older,Male,"White, non-Hispanic",Smoking,Yes,304
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Male,Other,Hypertension,Yes,30
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,All genders,All races,Smoking,Yes,3254
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,Female,"Hispanic, any race",All participants,Total,1431
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,"White, non-Hispanic",Hypertension,No,2688
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,All genders,"Hispanic, any race",Hypertension,No,2910
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,All genders,"Hispanic, any race",Smoking,No,1270
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Male,"Black, non-Hispanic",Hypertension,No,969
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,Female,All races,Diabetes,No,613
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,All genders,"Black, non-Hispanic",Diabetes,No,923
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Female,"Black, non-Hispanic",Smoking,No,654
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,Male,"Hispanic, any race",Diabetes,Yes,232
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,All genders,"Black, non-Hispanic",All participants,Total,843
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Male,All races,Smoking,No,1653
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,0-17 years,Female,All races,Hypertension,Yes,63
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Female,"Hispanic, any race",Hypertension,No,117
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,All genders,Other,Smoking,Yes,37
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Female,"Black, non-Hispanic",Diabetes,No,327
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,All genders,"White, non-Hispanic",Hypertension,No,1935
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Female,"White, non-Hispanic",Smoking,Yes,492
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Female,"White, non-Hispanic",All participants,Total,1069
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,Male,All races,All participants,Total,655
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,12-17 years,Female,All races,All participants,Total,3744
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Male,"White, non-Hispanic",Diabetes,Yes,69
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,80 years and older,All genders,"White, non-Hispanic",Hypertension,No,326
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Male,Other,Smoking,No,51
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,0-17 years,Female,"White, non-Hispanic",Diabetes,No,315
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,Female,"Hispanic, any race",Diabetes,No,383
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,All genders,"Black, non-Hispanic",Smoking,Yes,514
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Male,All races,Hypertension,No,725
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Male,All races,All participants,Total,2004
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,All genders,"Hispanic, any race",Hypertension,Yes,404
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Male,"White, non-Hispanic",Smoking,No,831
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,All genders,"Hispanic, any race",All participants,Total,2373
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,All genders,"White, non-Hispanic",Hypertension,No,3968
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,All genders,"Hispanic, any race",Diabetes,No,1243
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,Female,Other,Diabetes,No,45
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Male,"Hispanic, any race",Diabetes,No,374
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Male,Other,Diabetes,No,79
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Male,All races,Smoking,Yes,1873
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,All genders,"White, non-Hispanic",Smoking,Yes,514
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Female,"White, non-Hispanic",Diabetes,No,207
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,Female,"White, non-Hispanic",Hypertension,No,1341
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Male,"Hispanic, any race",Smoking,Yes,39
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Female,"White, non-Hispanic",Hypertension,Yes,725
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Female,Other,Diabetes,No,102
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,All genders,All races,Diabetes,Yes,240
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Male,Other,All participants,Total,87
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,All genders,"White, non-Hispanic",Hypertension,Yes,368
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,"White, non-Hispanic",Hypertension,Yes,776
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,All genders,Other,Hypertension,Yes,144
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,All genders,"Black, non-Hispanic",Diabetes,No,38
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,All genders,Other,Hypertension,Yes,143
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,Female,All races,All participants,Total,901
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,Male,All races,All participants,Total,3838
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,All genders,All races,Smoking,No,4829
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,All genders,"Hispanic, any race",Hypertension,No,44
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Female,All races,Diabetes,Yes,148
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,"Black, non-Hispanic",All participants,Total,945
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Male,"Hispanic, any race",Smoking,Yes,571
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,Male,Other,Diabetes,No,65
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Female,"Hispanic, any race",All participants,Total,1830
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,All genders,"Hispanic, any race",Diabetes,Yes,273
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Male,All races,Hypertension,Yes,554
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,80 years and older,Male,"Hispanic, any race",All participants,Total,61
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Female,"Hispanic, any race",All participants,Total,410
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Female,"Hispanic, any race",Hypertension,Yes,106
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Female,"Hispanic, any race",Hypertension,No,771
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,All genders,"Hispanic, any race",Hypertension,Yes,928
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,80 years and older,All genders,"White, non-Hispanic",Diabetes,No,335
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Female,"Hispanic, any race",Hypertension,Yes,435
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Female,"Hispanic, any race",Diabetes,No,664
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,All races,Diabetes,Yes,513
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,All genders,All races,All participants,Total,10267
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Male,"Hispanic, any race",Smoking,Yes,60
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,All genders,All races,Diabetes,No,1159
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,12-17 years,All genders,All races,All participants,Total,7582
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Female,All races,All participants,Total,1797
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Female,"Black, non-Hispanic",All participants,Total,1122
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,All genders,All races,Smoking,Yes,4716
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Male,Other,Diabetes,No,79
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,All genders,"Hispanic, any race",Smoking,No,1618
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Male,All races,All participants,Total,4853
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,Male,All races,Diabetes,Yes,513
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,Female,"White, non-Hispanic",Diabetes,No,303
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Male,"Black, non-Hispanic",Hypertension,No,78
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,All genders,All races,Hypertension,No,1199
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,Female,"White, non-Hispanic",All participants,Total,1004
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Female,Other,Smoking,No,32
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,All genders,Other,All participants,Total,320
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,All genders,Other,Hypertension,Yes,58
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Male,"Hispanic, any race",Smoking,No,145
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Female,"Black, non-Hispanic",Diabetes,Yes,136
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,All genders,All races,Hypertension,No,9457
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,Male,All races,Diabetes,Yes,615
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Female,All races,Hypertension,Yes,415
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,All genders,All races,Smoking,Yes,2248
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Female,All races,Hypertension,Yes,422
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,All genders,"Black, non-Hispanic",All participants,Total,2375
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Female,"White, non-Hispanic",Smoking,No,390
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Female,Other,Diabetes,Yes,31
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Female,Other,Diabetes,No,68
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,All genders,"Hispanic, any race",All participants,Total,2331
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),80 years and older,Female,"Hispanic, any race",Smoking,No,35
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,12-17 years,Female,"Black, non-Hispanic",All participants,Total,1147
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Female,"Black, non-Hispanic",Smoking,No,568
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),80 years and older,Female,All races,All participants,Total,648
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Female,All races,All participants,Total,5597
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,All genders,"Hispanic, any race",Diabetes,Yes,76
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Female,"White, non-Hispanic",Smoking,Yes,182
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Female,All races,Smoking,No,3191
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,Female,"Black, non-Hispanic",Smoking,Yes,442
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Female,All races,Diabetes,No,574
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Male,"Hispanic, any race",Smoking,No,612
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,12-17 years,Female,Other,All participants,Total,162
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,All genders,"Black, non-Hispanic",Smoking,Yes,368
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Male,All races,Hypertension,Yes,429
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,Male,"Black, non-Hispanic",Hypertension,No,1220
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,All genders,"White, non-Hispanic",Diabetes,Yes,253
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,All genders,Other,Hypertension,No,37
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,Female,All races,Diabetes,Yes,30
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,Male,"Black, non-Hispanic",All participants,Total,32
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,80 years and older,Female,All races,Diabetes,Yes,159
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,All genders,"Hispanic, any race",All participants,Total,352
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Male,"Black, non-Hispanic",Diabetes,No,318
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,All genders,All races,Diabetes,No,3763
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Male,All races,Smoking,Yes,1217
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,Female,All races,Hypertension,Yes,153
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Female,All races,Smoking,Yes,744
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Female,"Hispanic, any race",Diabetes,Yes,44
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,All genders,"White, non-Hispanic",Hypertension,No,3815
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,Female,"White, non-Hispanic",Smoking,Yes,1079
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Male,All races,Diabetes,Yes,489
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,All genders,"Black, non-Hispanic",Smoking,Yes,1018
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Female,"White, non-Hispanic",Hypertension,Yes,150
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,All genders,"Black, non-Hispanic",Diabetes,No,621
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,Female,All races,Diabetes,Yes,30
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,All genders,"White, non-Hispanic",Hypertension,Yes,358
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Female,"Black, non-Hispanic",Smoking,No,46
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Male,All races,All participants,Total,4878
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,Female,"Hispanic, any race",Diabetes,No,105
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,All genders,All races,Smoking,No,4829
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,Male,"White, non-Hispanic",Smoking,No,790
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,"White, non-Hispanic",Diabetes,No,1535
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Female,"Black, non-Hispanic",Hypertension,Yes,294
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,All genders,"White, non-Hispanic",All participants,Total,2256
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Female,"White, non-Hispanic",All participants,Total,2185
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,All genders,All races,Diabetes,Yes,1362
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Male,All races,Smoking,No,348
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Male,"White, non-Hispanic",Hypertension,No,1757
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Male,"Hispanic, any race",Hypertension,No,1527
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,80 years and older,All genders,"Hispanic, any race",Smoking,Yes,74
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,All genders,All races,Hypertension,No,2429
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,All genders,Other,Smoking,No,256
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,All genders,Other,Hypertension,Yes,32
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,Male,All races,Diabetes,Yes,66
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,80 years and older,All genders,"Hispanic, any race",All participants,Total,125
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,All genders,All races,Diabetes,Yes,246
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Female,"Hispanic, any race",Smoking,No,45
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Female,All races,Diabetes,Yes,142
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Female,"Black, non-Hispanic",All participants,Total,325
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Female,"Black, non-Hispanic",All participants,Total,1232
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,Male,"Black, non-Hispanic",Hypertension,No,1179
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,12-17 years,Female,All races,All participants,Total,3744
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Male,"White, non-Hispanic",Smoking,Yes,909
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,12-17 years,All genders,"Black, non-Hispanic",All participants,Total,2383
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,All genders,Other,Hypertension,No,196
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Male,All races,Hypertension,Yes,554
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Male,Other,All participants,Total,150
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Female,Other,Diabetes,No,109
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,All genders,All races,Diabetes,No,3253
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,Male,"Hispanic, any race",Hypertension,No,74
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,All genders,"Black, non-Hispanic",Smoking,Yes,368
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,All genders,All races,Hypertension,No,7178
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,All genders,"Black, non-Hispanic",Hypertension,Yes,99
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Female,"Hispanic, any race",Hypertension,Yes,101
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Male,"Hispanic, any race",All participants,Total,1239
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,Female,All races,Hypertension,Yes,1440
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Male,"Hispanic, any race",All participants,Total,1575
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,80 years and older,Male,All races,Hypertension,Yes,501
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,All genders,"White, non-Hispanic",Hypertension,Yes,68
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Male,"Hispanic, any race",Diabetes,No,566
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,0-17 years,All genders,"White, non-Hispanic",Hypertension,No,684
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,80 years and older,Male,"Black, non-Hispanic",Hypertension,Yes,40
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Female,"Black, non-Hispanic",Hypertension,No,55
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,0-17 years,Male,"Hispanic, any race",Diabetes,No,428
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,Male,"Hispanic, any race",Diabetes,Yes,119
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,All genders,"Hispanic, any race",Smoking,Yes,1060
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,Female,All races,All participants,Total,720
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,Female,"Hispanic, any race",Smoking,No,809
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Female,"Black, non-Hispanic",Smoking,No,644
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Female,"Black, non-Hispanic",Smoking,Yes,231
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,All genders,"Black, non-Hispanic",Diabetes,Yes,217
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Male,"Hispanic, any race",Smoking,Yes,60
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,12-17 years,Female,"White, non-Hispanic",Hypertension,Yes,37
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,All genders,"Hispanic, any race",Diabetes,Yes,273
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Female,Other,Hypertension,No,104
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,80 years and older,Female,All races,All participants,Total,720
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,Female,Other,All participants,Total,186
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,All genders,"Hispanic, any race",Smoking,No,1270
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,80 years and older,Female,"Hispanic, any race",Hypertension,Yes,69
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Male,"Hispanic, any race",Smoking,No,659
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,12-17 years,Male,"Black, non-Hispanic",All participants,Total,1233
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,All genders,"Black, non-Hispanic",Hypertension,Yes,1235
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,All genders,"Hispanic, any race",Smoking,No,1666
